Machine_ID,Temperature,Vibration,RPM,Humidity,Power,Running_Hours,Status
LOOM0099,33.51,0.62,1181,61.0,4.25,229,Running
LOOM0100,33.35,0.6,1182,61.02,5.15,152,Running
LOOM0101,37.04,1.43,1195,58.5,4.87,338,Running
LOOM0102,37.69,1.2,1196,61.07,4.37,360,Running
LOOM0103,37.78,1.58,1190,61.86,4.31,63,Running
LOOM0104,37.57,1.36,1204,59.59,4.92,88,Running
LOOM0105,35.55,1.75,1195,58.41,4.97,485,Running
LOOM0106,36.11,1.71,1216,61.13,4.55,269,Running
LOOM0107,35.97,0.6,1201,58.05,4.62,300,Running
LOOM0108,32.63,1.94,1220,61.57,4.66,128,Running
LOOM0109,34.61,1.6,1197,60.46,5.12,446,Running
LOOM0110,34.9,1.15,1217,59.07,5.05,475,Running
LOOM0111,37.61,0.92,1208,58.98,4.66,362,Running
LOOM0112,36.01,1.0,1211,61.4,4.38,158,Running
LOOM0113,34.13,0.89,1197,61.52,4.9,191,Running
LOOM0114,35.33,1.27,1192,58.34,4.92,300,Running
LOOM0115,35.33,0.86,1210,60.58,4.69,455,Running
LOOM0116,32.1,0.94,1205,60.77,4.51,347,Running
LOOM0117,34.21,1.33,1202,59.7,4.95,219,Running
LOOM0118,34.11,1.18,1199,59.01,4.32,148,Running
LOOM0119,33.89,1.61,1191,58.77,4.94,191,Running
LOOM0120,36.35,1.96,1213,60.39,5.18,476,Running
LOOM0121,33.16,0.84,1191,59.21,4.91,114,Running
LOOM0122,33.65,1.96,1215,59.17,5.14,376,Running
LOOM0123,37.21,1.24,1180,60.3,4.67,275,Running
LOOM0124,34.04,1.95,1196,61.76,4.68,470,Running
LOOM0125,32.39,1.24,1216,60.52,4.25,126,Running
LOOM0126,36.87,1.92,1185,61.98,4.32,441,Running
LOOM0127,34.5,1.39,1219,58.9,4.72,280,Running
LOOM0128,37.45,0.95,1217,61.96,4.51,367,Running
LOOM0129,32.36,1.94,1186,61.79,4.41,158,Running
LOOM0130,33.59,0.62,1195,58.7,4.28,51,Running
LOOM0131,34.45,1.53,1210,59.17,4.43,411,Running
LOOM0132,33.7,1.79,1184,60.75,5.12,453,Running
LOOM0133,36.75,1.38,1192,59.7,4.74,381,Running
LOOM0134,32.89,0.9,1189,58.29,4.37,207,Running
LOOM0135,35.57,1.74,1198,59.76,4.67,205,Running
LOOM0136,36.2,1.91,1212,60.16,4.64,356,Running
LOOM0137,32.24,1.15,1200,60.41,4.23,167,Running
LOOM0138,37.77,1.75,1216,60.35,4.22,441,Running
LOOM0139,36.03,0.9,1182,61.05,4.38,315,Running
LOOM0140,35.91,1.87,1191,61.99,4.64,466,Running
LOOM0141,34.95,0.64,1202,59.63,4.52,103,Running
LOOM0142,37.15,0.99,1211,59.15,5.15,466,Running
LOOM0143,36.56,0.56,1185,59.26,4.52,445,Running
LOOM0144,34.43,1.27,1180,60.63,4.74,261,Running
LOOM0145,32.33,1.28,1219,61.03,4.83,439,Running
LOOM0146,32.31,0.9,1188,61.71,4.64,407,Running
LOOM0147,34.91,0.54,1220,60.44,4.44,131,Running
LOOM0148,33.86,0.52,1206,58.37,5.19,108,Running
LOOM0149,34.77,0.68,1189,59.99,4.92,310,Running
LOOM0150,36.23,1.12,1210,61.92,4.44,332,Running
LOOM0151,32.87,0.79,1218,60.03,5.08,492,Running
LOOM0152,32.42,1.66,1206,59.36,4.99,186,Running
LOOM0153,36.92,0.92,1199,61.35,4.78,387,Running
LOOM0154,34.94,0.72,1214,59.94,4.53,440,Running
LOOM0155,35.26,1.18,1200,61.48,5.18,172,Running
LOOM0156,35.43,0.85,1206,58.17,4.94,411,Running
LOOM0157,37.48,1.07,1189,59.98,4.24,307,Running
LOOM0158,37.79,1.0,1186,61.5,4.64,319,Running
LOOM0159,37.46,0.52,1189,59.64,4.85,129,Running
LOOM0160,32.45,1.67,1196,59.35,4.89,382,Running
LOOM0161,32.48,0.99,1214,59.52,4.52,417,Running
LOOM0162,37.32,1.23,1214,58.14,4.27,373,Running
LOOM0163,36.11,0.93,1194,60.99,4.63,100,Running
LOOM0164,36.56,1.56,1186,59.77,4.89,64,Running
LOOM0165,32.28,1.69,1198,59.43,4.63,175,Running
LOOM0166,35.19,1.35,1191,58.68,4.28,495,Running
LOOM0167,34.3,1.52,1211,61.65,4.34,286,Running
LOOM0168,35.83,1.19,1180,61.6,4.67,197,Running
LOOM0169,36.07,0.74,1208,61.78,5.19,203,Running
LOOM0170,35.83,1.14,1196,59.83,4.5,246,Running
LOOM0171,37.12,0.66,1204,60.29,4.77,408,Running
LOOM0172,33.77,1.97,1205,59.1,4.77,401,Running
LOOM0173,36.67,1.96,1218,60.98,5.03,196,Running
LOOM0174,36.65,0.85,1202,58.88,4.39,178,Running
LOOM0175,36.07,1.58,1188,60.51,5.1,380,Running
LOOM0176,32.24,1.68,1182,60.32,4.93,96,Running
LOOM0177,37.46,0.99,1206,58.7,4.33,326,Running
LOOM0178,37.26,1.05,1212,61.65,5.03,181,Running
LOOM0179,37.48,1.92,1198,60.99,4.54,108,Running
LOOM0180,34.81,0.61,1194,61.44,4.92,253,Running
LOOM0181,37.8,1.71,1203,58.36,4.59,185,Running
LOOM0182,35.22,1.18,1196,60.34,5.02,240,Running
LOOM0183,32.65,0.85,1181,60.48,5.14,217,Running
LOOM0184,37.49,0.83,1184,60.54,4.66,408,Running
LOOM0185,33.81,1.11,1188,58.18,4.24,302,Running
LOOM0186,32.7,0.85,1214,58.54,4.65,393,Running
LOOM0187,37.7,1.54,1214,59.68,4.94,129,Running
LOOM0188,37.31,1.48,1211,60.46,5.14,193,Running
LOOM0189,32.2,1.06,1208,59.78,4.44,235,Running
LOOM0190,32.6,1.53,1214,61.61,4.84,81,Running
LOOM0191,34.39,0.78,1187,61.8,5.02,96,Running
LOOM0192,35.98,1.46,1218,61.88,4.25,220,Running
LOOM0193,33.46,0.69,1216,58.82,5.03,333,Running
LOOM0194,33.24,0.82,1194,59.31,4.35,355,Running
LOOM0195,32.02,1.79,1189,61.95,4.74,458,Running
LOOM0196,33.05,1.49,1181,58.53,4.56,453,Running
LOOM0197,33.43,0.99,1191,59.06,4.33,265,Running
LOOM0198,35.16,1.62,1210,59.79,4.56,353,Running
LOOM0199,32.65,1.26,1219,58.17,4.98,493,Running
LOOM0200,35.95,0.95,1181,58.24,4.68,255,Running
LOOM0201,34.56,0.66,1208,58.29,4.28,361,Running
LOOM0202,32.89,0.69,1219,60.53,4.75,216,Running
LOOM0203,34.29,1.4,1198,59.81,4.81,100,Running
LOOM0204,36.76,0.67,1215,60.88,4.42,281,Running
LOOM0205,37.33,1.12,1209,59.59,4.93,210,Running
LOOM0206,34.56,1.5,1203,61.81,4.89,292,Running
LOOM0207,32.4,1.75,1185,59.73,4.94,240,Running
LOOM0208,36.87,1.33,1217,61.83,4.76,393,Running
LOOM0209,32.73,1.03,1207,61.47,4.92,197,Running
LOOM0210,35.6,1.03,1216,60.03,4.35,296,Running
LOOM0211,33.35,0.66,1215,59.47,4.96,343,Running
LOOM0212,33.36,1.14,1215,61.9,5.02,364,Running
LOOM0213,36.05,1.34,1218,61.72,5.03,186,Running
LOOM0214,32.17,0.91,1199,61.69,4.55,142,Running
LOOM0215,37.22,1.35,1205,58.28,4.94,65,Running
LOOM0216,32.55,1.3,1204,59.68,4.54,239,Running
LOOM0217,33.87,0.99,1216,60.38,5.08,129,Running
LOOM0218,32.94,1.43,1185,59.09,4.86,298,Running
LOOM0219,35.64,1.12,1193,61.02,4.31,270,Running
LOOM0220,32.67,1.52,1217,59.95,4.87,73,Running
LOOM0221,33.32,1.98,1183,58.03,4.5,158,Running
LOOM0222,36.6,1.65,1198,59.31,4.21,432,Running
LOOM0223,34.58,0.69,1214,60.81,4.7,476,Running
LOOM0224,36.01,1.03,1205,61.45,4.24,59,Running
LOOM0225,34.76,0.62,1200,60.3,4.77,413,Running
LOOM0226,35.84,0.93,1205,58.08,4.52,460,Running
LOOM0227,37.69,1.19,1203,58.35,5.04,174,Running
LOOM0228,34.61,1.1,1185,59.58,4.51,223,Running
LOOM0229,33.33,1.67,1184,60.04,4.31,311,Running
LOOM0230,33.16,1.66,1202,60.91,5.02,467,Running
LOOM0231,32.89,0.65,1196,58.79,4.8,439,Running
LOOM0232,36.55,0.61,1220,59.98,4.95,439,Running
LOOM0233,35.48,1.52,1216,60.57,5.19,215,Running
LOOM0234,37.19,1.44,1189,59.76,4.67,373,Running
LOOM0235,33.82,0.91,1183,59.41,4.27,286,Running
LOOM0236,34.71,0.59,1198,58.31,5.06,487,Running
LOOM0237,32.54,1.39,1204,59.85,4.75,455,Running
LOOM0238,36.43,0.56,1216,60.61,4.52,293,Running
LOOM0239,35.01,1.94,1208,58.41,5.1,225,Running
LOOM0240,37.89,0.63,1191,58.16,4.91,274,Running
LOOM0241,35.14,1.41,1203,59.49,4.48,259,Running
LOOM0242,36.65,1.52,1183,61.16,4.85,83,Running
LOOM0243,33.98,1.34,1204,59.14,4.92,386,Running
LOOM0244,37.79,1.4,1189,59.33,4.78,122,Running
LOOM0245,37.5,0.97,1205,58.52,4.91,93,Running
LOOM0246,33.86,1.07,1201,61.25,4.87,474,Running
LOOM0247,37.68,2.0,1213,58.37,4.87,310,Running
LOOM0248,34.17,1.04,1191,61.8,4.54,442,Running
LOOM0249,34.92,0.84,1188,58.62,4.5,453,Running
LOOM0250,32.61,1.66,1213,58.15,4.54,442,Running
LOOM0251,35.71,1.4,1189,58.65,5.03,444,Running
LOOM0252,35.75,1.85,1208,58.17,4.56,418,Running
LOOM0253,33.43,1.17,1198,61.01,4.98,169,Running
LOOM0254,35.2,0.96,1210,61.62,4.39,397,Running
LOOM0255,37.68,1.98,1209,61.08,4.98,307,Running
LOOM0256,35.16,1.95,1192,61.21,4.34,178,Running
LOOM0257,32.31,1.22,1203,60.22,4.3,483,Running
LOOM0258,35.1,0.69,1185,61.05,4.47,312,Running
LOOM0259,32.88,1.16,1194,61.27,5.08,63,Running
LOOM0260,34.49,1.09,1203,58.94,5.19,241,Running
LOOM0261,33.35,0.98,1186,61.36,4.85,455,Running
LOOM0262,32.88,0.56,1210,60.78,4.34,411,Running
LOOM0263,34.81,1.42,1185,58.08,4.42,126,Running
LOOM0264,35.29,1.59,1213,59.69,4.98,171,Running
LOOM0265,33.81,0.57,1206,60.56,4.82,82,Running
LOOM0266,32.67,1.86,1218,60.14,4.83,344,Running
LOOM0267,33.45,0.72,1207,58.01,4.55,342,Running
LOOM0268,34.5,1.5,1185,60.09,4.56,319,Running
LOOM0269,35.26,1.68,1212,60.22,4.59,290,Running
LOOM0270,32.26,1.08,1203,59.01,4.22,453,Running
LOOM0271,32.41,0.86,1220,58.41,4.78,437,Running
LOOM0272,34.0,0.57,1214,59.35,4.84,475,Running
LOOM0273,36.67,1.2,1210,60.53,5.01,82,Running
LOOM0274,36.3,1.92,1182,59.17,4.24,152,Running
LOOM0275,37.31,0.97,1199,60.06,5.19,328,Running
LOOM0276,34.84,0.55,1192,59.14,5.06,74,Running
LOOM0277,37.19,1.0,1187,61.2,4.64,254,Running
LOOM0278,36.46,1.84,1204,59.36,4.39,404,Running
LOOM0279,34.99,1.89,1213,59.07,4.28,267,Running
LOOM0280,32.47,1.4,1191,60.18,4.52,90,Running
LOOM0281,33.97,0.94,1208,60.41,4.63,403,Running
LOOM0282,34.66,1.17,1202,60.46,4.63,377,Running
LOOM0283,37.88,1.92,1184,60.68,4.61,312,Running
LOOM0284,36.81,1.52,1181,58.57,4.81,450,Running
LOOM0285,34.63,0.69,1195,61.11,4.57,246,Running
LOOM0286,37.7,0.55,1189,60.72,5.15,240,Running
LOOM0287,34.66,0.62,1188,60.12,4.6,382,Running
LOOM0288,33.67,1.94,1181,60.94,4.7,248,Running
LOOM0289,37.48,0.68,1196,60.82,4.41,363,Running
LOOM0290,33.71,1.87,1211,58.8,4.34,87,Running
LOOM0291,34.71,1.85,1208,61.99,5.01,482,Running
LOOM0292,37.92,1.5,1184,60.2,4.49,203,Running
LOOM0293,37.11,1.57,1220,58.7,4.56,164,Running
LOOM0294,32.73,0.8,1188,58.95,4.69,234,Running
LOOM0295,35.32,1.05,1215,58.52,5.08,83,Running
LOOM0296,33.86,2.0,1210,60.1,4.97,471,Running
LOOM0297,35.45,0.69,1200,60.57,4.65,398,Running
LOOM0298,35.1,0.69,1215,60.56,4.38,116,Running
LOOM0299,34.6,1.87,1183,61.33,4.72,205,Running
LOOM0300,32.99,0.98,1194,59.38,5.14,195,Running
LOOM0301,37.08,0.88,1220,61.83,4.47,370,Running
LOOM0302,33.82,1.3,1212,60.56,4.79,347,Running
LOOM0303,32.93,1.49,1218,59.35,5.12,71,Running
LOOM0304,36.95,0.54,1182,61.79,4.97,185,Running
LOOM0305,35.91,1.65,1206,60.47,4.23,371,Running
LOOM0306,35.27,1.46,1199,59.93,5.0,400,Running
LOOM0307,34.44,1.18,1183,58.63,4.62,287,Running
LOOM0308,33.22,1.41,1200,61.45,4.52,490,Running
LOOM0309,34.07,1.1,1203,60.06,4.31,173,Running
LOOM0310,34.8,0.9,1195,58.56,4.25,246,Running
LOOM0311,37.18,1.13,1190,61.25,5.13,419,Running
LOOM0312,33.88,1.64,1211,61.98,4.67,500,Running
LOOM0313,33.85,0.53,1205,60.02,5.17,160,Running
LOOM0314,35.5,0.57,1198,59.98,5.08,384,Running
LOOM0315,36.04,0.93,1180,61.39,4.63,185,Running
LOOM0316,36.37,1.65,1203,58.18,4.25,337,Running
LOOM0317,33.17,1.33,1184,59.55,4.65,331,Running
LOOM0318,33.68,1.98,1219,58.48,5.18,251,Running
LOOM0319,34.24,1.98,1215,61.76,4.95,151,Running
LOOM0320,35.61,1.1,1182,58.18,4.34,220,Running
LOOM0321,36.82,1.28,1189,60.43,4.72,217,Running
LOOM0322,37.59,0.98,1205,61.96,4.94,203,Running
LOOM0323,35.56,1.26,1212,60.13,4.91,203,Running
LOOM0324,34.85,0.52,1201,60.7,5.18,348,Running
LOOM0325,33.85,1.85,1220,58.11,4.67,385,Running
LOOM0326,36.7,1.66,1216,58.91,4.25,295,Running
LOOM0327,33.02,1.44,1219,61.1,4.58,470,Running
LOOM0328,36.08,0.55,1187,58.76,4.64,264,Running
LOOM0329,32.91,1.54,1206,60.01,4.81,291,Running
LOOM0330,37.24,1.6,1183,60.82,4.72,337,Running
LOOM0331,33.95,1.49,1213,59.51,5.16,285,Running
LOOM0332,37.47,1.01,1202,60.7,5.07,398,Running
LOOM0333,35.86,1.54,1219,59.94,5.16,192,Running
LOOM0334,35.35,0.84,1199,61.08,4.9,403,Running
LOOM0335,36.23,0.98,1202,60.24,5.13,419,Running
LOOM0336,33.64,0.68,1214,59.52,5.18,469,Running
LOOM0337,34.07,1.66,1189,59.16,4.49,415,Running
LOOM0338,32.47,1.89,1196,60.99,4.41,473,Running
LOOM0339,35.23,1.9,1197,58.55,4.82,350,Running
LOOM0340,33.44,0.58,1213,58.9,4.43,101,Running
LOOM0341,34.48,1.58,1186,60.72,4.34,331,Running
LOOM0342,37.87,0.74,1210,59.91,4.4,197,Running
LOOM0343,33.93,1.47,1185,60.61,4.43,428,Running
LOOM0344,36.34,1.91,1191,59.67,5.04,68,Running
LOOM0345,37.98,1.1,1211,58.75,4.95,496,Running
LOOM0346,37.56,1.82,1180,59.19,4.8,221,Running
LOOM0347,33.71,1.98,1214,60.1,5.09,118,Running
LOOM0348,37.11,1.2,1192,61.24,4.53,424,Running
LOOM0349,34.75,0.89,1191,58.06,4.54,201,Running
LOOM0350,35.41,1.64,1191,60.44,4.84,257,Running
LOOM0351,36.96,1.27,1185,59.6,4.3,121,Running
LOOM0352,34.86,1.9,1180,59.04,4.44,435,Running
LOOM0353,33.6,0.99,1217,60.89,4.21,384,Running
LOOM0354,34.16,0.85,1187,59.86,4.36,401,Running
LOOM0355,35.02,1.84,1199,60.76,4.84,201,Running
LOOM0356,34.21,0.83,1188,59.91,4.65,360,Running
LOOM0357,34.24,1.55,1210,61.03,5.0,472,Running
LOOM0358,33.31,0.87,1218,61.49,4.28,278,Running
LOOM0359,35.17,1.04,1216,58.45,5.03,308,Running
LOOM0360,33.21,1.3,1190,59.31,4.72,109,Running
LOOM0361,36.08,1.58,1211,58.36,4.71,464,Running
LOOM0362,32.33,0.7,1206,59.83,4.26,286,Running
LOOM0363,36.04,0.96,1181,59.58,5.02,431,Running
LOOM0364,33.31,0.61,1207,59.38,4.26,80,Running
LOOM0365,37.61,0.6,1210,58.13,4.61,443,Running
LOOM0366,32.81,1.46,1206,59.5,5.09,279,Running
LOOM0367,37.22,1.86,1204,58.32,5.16,497,Running
LOOM0368,35.24,1.48,1202,58.47,5.19,251,Running
LOOM0369,35.17,1.59,1194,61.34,4.96,202,Running
LOOM0370,34.78,1.58,1207,60.13,5.02,176,Running
LOOM0371,34.76,0.73,1192,61.75,4.93,107,Running
LOOM0372,32.19,1.49,1219,61.06,5.08,58,Running
LOOM0373,33.44,0.6,1218,58.13,4.8,410,Running
LOOM0374,37.23,0.87,1182,59.61,4.43,161,Running
LOOM0375,36.53,1.66,1188,60.02,4.49,467,Running
LOOM0376,37.5,1.36,1216,60.39,4.87,214,Running
LOOM0377,33.42,1.81,1213,58.88,4.5,81,Running
LOOM0378,35.34,1.39,1191,60.5,4.63,303,Running
LOOM0379,32.28,1.02,1204,61.14,4.52,263,Running
LOOM0380,34.45,0.95,1191,61.02,4.67,484,Running
LOOM0381,33.35,1.79,1189,61.22,5.11,337,Running
LOOM0382,34.48,1.12,1213,58.54,4.44,154,Running
LOOM0383,33.98,0.62,1208,61.39,4.29,420,Running
LOOM0384,36.98,0.58,1204,60.69,4.8,497,Running
LOOM0385,32.44,1.71,1217,60.9,4.76,295,Running
LOOM0386,33.25,1.86,1199,61.83,4.22,147,Running
LOOM0387,37.77,0.68,1210,61.66,4.9,410,Running
LOOM0388,33.23,1.87,1215,59.29,4.48,288,Running
LOOM0389,35.2,1.04,1196,59.44,5.08,288,Running
LOOM0390,32.59,1.97,1210,61.05,4.52,154,Running
LOOM0391,34.22,1.12,1216,61.46,4.94,58,Running
LOOM0392,33.56,1.9,1217,60.88,4.5,150,Running
LOOM0393,33.98,1.07,1195,60.0,4.85,400,Running
LOOM0394,34.03,1.65,1211,61.87,4.84,301,Running
LOOM0395,34.76,1.6,1202,58.68,4.92,300,Running
LOOM0396,33.1,1.83,1183,60.1,5.04,88,Running
LOOM0397,37.67,1.5,1180,59.65,5.04,168,Running
LOOM0398,32.41,0.73,1193,60.02,4.57,366,Running
LOOM0399,35.83,1.9,1210,60.64,4.22,322,Running
LOOM0400,35.31,0.52,1213,60.89,4.74,196,Running
LOOM0401,32.1,1.72,1207,61.22,5.11,104,Running
LOOM0402,37.51,1.29,1195,58.77,4.73,467,Running
LOOM0403,34.13,1.69,1185,59.49,4.61,339,Running
LOOM0404,33.46,1.55,1199,60.74,5.05,384,Running
LOOM0405,37.95,1.47,1182,58.37,4.58,332,Running
LOOM0406,34.86,1.46,1190,58.33,5.05,380,Running
LOOM0407,36.71,1.35,1186,61.58,5.12,167,Running
LOOM0408,33.27,1.8,1216,59.9,4.25,88,Running
LOOM0409,36.11,0.92,1214,60.25,4.23,485,Running
LOOM0410,33.89,1.94,1217,58.58,5.02,470,Running
LOOM0411,34.39,0.62,1190,60.26,4.77,484,Running
LOOM0412,34.33,1.84,1201,59.54,4.94,454,Running
LOOM0413,37.93,1.59,1212,60.98,4.55,100,Running
LOOM0414,34.62,1.76,1201,60.42,4.81,354,Running
LOOM0415,34.38,1.66,1181,60.54,4.98,280,Running
LOOM0416,34.94,1.03,1204,59.73,4.88,388,Running
LOOM0417,34.28,1.66,1198,61.19,4.91,92,Running
LOOM0418,33.61,1.07,1220,58.62,4.59,234,Running
LOOM0419,32.64,0.51,1199,59.78,4.96,102,Running
LOOM0420,32.8,0.78,1208,60.23,4.71,102,Running
LOOM0421,32.16,1.03,1185,60.39,4.98,492,Running
LOOM0422,34.31,0.94,1204,61.12,4.92,336,Running
LOOM0423,37.43,1.97,1216,60.08,4.89,136,Running
LOOM0424,32.83,0.95,1211,58.58,4.37,191,Running
LOOM0425,34.53,1.23,1184,59.44,5.14,419,Running
LOOM0426,35.75,1.39,1192,59.83,4.34,53,Running
LOOM0427,37.69,1.0,1219,59.52,5.06,275,Running
LOOM0428,34.01,1.72,1218,58.54,4.52,405,Running
LOOM0429,33.21,0.97,1205,61.87,4.49,405,Running
LOOM0430,35.8,1.95,1195,59.3,4.48,452,Running
LOOM0431,34.36,0.67,1216,58.8,5.2,142,Running
LOOM0432,36.09,1.33,1209,61.77,4.41,458,Running
LOOM0433,33.75,1.54,1206,60.69,4.34,205,Running
LOOM0434,33.45,1.49,1207,61.16,4.27,356,Running
LOOM0435,34.88,1.1,1212,61.69,5.07,264,Running
LOOM0436,35.26,1.69,1203,60.81,5.01,354,Running
LOOM0437,35.83,0.63,1195,60.63,4.56,381,Running
LOOM0438,35.68,1.34,1205,61.87,4.53,457,Running
LOOM0439,34.58,0.52,1196,58.89,4.95,335,Running
LOOM0440,35.48,1.36,1208,59.5,4.66,397,Running
LOOM0441,35.53,1.25,1202,61.99,4.68,201,Running
LOOM0442,34.5,1.94,1187,61.33,4.93,228,Running
LOOM0443,33.87,1.18,1193,60.08,4.55,99,Running
LOOM0444,34.63,1.55,1200,58.27,4.24,413,Running
LOOM0445,32.69,1.77,1186,60.71,4.36,429,Running
LOOM0446,33.46,0.76,1190,59.32,4.63,286,Running
LOOM0447,33.39,1.11,1191,58.75,4.86,252,Running
LOOM0448,32.18,1.42,1192,59.8,4.63,52,Running
LOOM0449,36.23,0.81,1184,60.31,5.0,324,Running
