machineId,Health,Temperature,Vibration,RPM,Humidity,Power,Running_Hours,status
M0083,99.42,36.44,0.83,1466,53.67,4.08,882.53,Running
M0084,95.86,37.8,1.44,1457,52.25,4.53,604.38,Running
M0085,93.18,41.96,1.52,1545,54.22,4.3,1000.94,Running
M0086,95.14,37.48,1.66,1508,49.78,4.84,473.19,Running
M0087,92.43,39.99,1.99,1481,46.08,4.78,747.06,Running
M0088,91.68,42.95,1.63,1391,52.0,4.88,248.44,Running
M0089,92.01,42.59,1.86,1549,53.57,5.05,519.49,Running
M0090,95.02,37.19,1.46,1484,52.9,4.63,959.52,Running
M0091,90.47,42.62,1.8,1433,51.29,4.52,935.69,Running
M0092,84.88,46.3,2.6,1539,52.19,5.39,601.53,Running
M0093,92.3,42.05,1.78,1563,54.5,4.47,714.54,Running
M0094,92.13,42.98,1.82,1491,53.24,4.97,707.48,Running
M0095,84.54,48.85,2.74,1506,51.45,5.54,1008.54,Running
M0096,95.92,37.66,1.43,1402,48.3,3.88,704.03,Running
M0097,96.06,37.42,1.28,1540,54.76,4.51,858.31,Running
M0098,99.12,36.19,1.11,1485,54.07,4.36,501.81,Running
M0099,96.72,37.89,1.15,1413,47.46,4.6,977.41,Running
M0100,98.07,37.21,1.04,1442,45.65,4.13,259.03,Running
