Temperature,Vibration,RPM,Humidity,Power,Running_Hours,status,machineId,Health
41.73,1.57,1407,54.6,4.51,291.77,Running,M0092,92.37
42.49,1.82,1522,48.95,5.19,492.2,Running,M0093,91.2
34.08,0.94,1555,50.41,3.59,177.3,Running,M0094,99.38
35.76,1.42,1449,45.27,3.64,172.32,Running,M0095,98.44
42.98,1.72,1396,53.4,4.85,708.13,Running,M0096,90.18
37.18,0.9,1451,46.67,3.81,684.32,Running,M0097,98.76
40.53,1.96,1520,51.3,4.77,962.7,Running,M0098,90.93
37.22,1.29,1534,48.55,3.84,945.14,Running,M0099,98.04
36.46,1.28,1492,50.86,4.03,376.49,Running,M0100,96.58
40.75,1.98,1405,52.66,4.29,115.41,Running,M0001,90.48
40.93,1.68,1482,52.47,4.09,358.43,Running,M0002,92.76
39.05,1.2,1501,48.52,3.99,859.66,Running,M0003,95.04
38.97,1.69,1405,49.78,4.28,500.03,Running,M0004,93.12
39.39,1.23,1545,46.16,4.88,696.08,Running,M0005,94.9
42.97,2.17,1458,45.25,4.96,432.64,Running,M0006,89.95
38.08,1.07,1475,45.04,4.06,587.9,Running,M0007,97.03
35.51,1.34,1508,49.15,3.95,488.9,Running,M0008,99.4
38.36,1.72,1407,50.62,4.8,673.76,Running,M0009,95.22
43.32,1.95,1436,48.6,5.13,401.97,Running,M0010,91.99
33.98,1.35,1397,47.23,4.08,306.07,Running,M0011,99.12
40.98,1.9,1536,54.52,4.31,624.65,Running,M0012,92.33
39.65,1.98,1394,48.1,4.73,474.11,Running,M0013,92.06
34.85,1.37,1561,54.14,3.86,242.0,Running,M0014,97.72
39.37,1.67,1543,52.59,4.18,272.94,Running,M0015,93.87
42.15,1.72,1432,51.72,4.78,818.52,Running,M0016,91.01
52.68,3.16,1532,51.55,5.3,258.1,Maintenance,M0017,79.96
40.91,1.63,1574,52.32,4.9,877.43,Running,M0018,92.71
40.27,1.79,1482,49.89,4.97,424.99,Running,M0019,93.53
36.31,1.21,1558,53.17,4.76,426.34,Running,M0020,96.69
41.16,1.42,1570,49.1,4.98,804.69,Running,M0021,92.81
40.36,1.77,1502,54.85,4.15,243.13,Running,M0022,91.9
34.39,0.8,1583,50.7,3.88,478.83,Running,M0023,99.71
42.84,1.98,1538,45.35,5.14,107.71,Running,M0024,90.8
40.63,1.69,1480,54.96,4.49,667.08,Running,M0025,91.04
42.53,1.81,1561,50.99,4.16,507.65,Running,M0026,93.05
38.91,1.77,1575,54.63,4.87,205.02,Running,M0027,93.75
37.01,1.54,1432,45.79,4.6,477.49,Running,M0028,96.23
40.05,1.55,1407,45.13,4.95,984.05,Running,M0029,93.53
35.87,1.15,1493,51.22,3.74,308.34,Running,M0030,98.96
40.01,1.4,1575,46.47,4.7,357.12,Running,M0031,96.03
35.05,1.26,1447,47.4,4.49,403.47,Running,M0032,99.92
50.72,3.03,1445,53.59,5.15,961.95,Maintenance,M0033,79.67
37.54,1.68,1581,51.2,4.15,918.28,Running,M0034,94.67
43.16,2.19,1412,45.05,5.15,580.25,Running,M0035,90.25
40.56,1.4,1550,50.08,4.62,914.44,Running,M0036,93.92
34.06,1.26,1467,52.34,4.33,720.1,Running,M0037,98.83
35.14,1.33,1442,45.66,4.09,901.51,Running,M0038,99.17
37.88,1.56,1463,54.95,4.57,482.86,Running,M0039,96.32
38.57,1.83,1475,45.07,4.02,776.95,Running,M0040,93.97
42.59,1.96,1488,50.65,4.25,732.25,Running,M0041,90.98
41.68,1.85,1393,46.15,4.54,439.08,Running,M0042,91.46
42.35,1.75,1393,49.76,4.43,242.67,Running,M0043,90.03
34.04,1.15,1524,50.19,4.43,557.39,Running,M0044,99.81
33.46,0.91,1484,52.43,4.08,867.76,Running,M0045,99.75
38.99,1.53,1423,49.54,5.04,896.3,Running,M0046,92.57
51.73,3.25,1457,49.19,5.86,403.73,Running,M0047,80.27
39.59,1.85,1506,46.9,4.48,495.27,Running,M0048,93.78
40.98,1.56,1400,54.2,4.4,255.89,Running,M0049,92.51
41.16,1.97,1509,46.2,4.86,698.7,Running,M0050,92.71
39.88,1.67,1564,52.33,4.91,447.95,Running,M0051,92.46
39.32,1.43,1415,54.21,4.73,571.59,Running,M0052,94.76
37.98,1.47,1529,50.98,4.12,886.39,Running,M0053,98.03
37.66,1.6,1433,46.08,4.53,955.64,Running,M0054,96.73
38.71,1.21,1572,46.19,4.47,145.39,Running,M0055,94.95
40.98,1.67,1427,47.21,4.21,627.79,Running,M0056,94.82
40.61,1.67,1521,54.9,4.49,630.0,Running,M0057,94.32
37.56,1.34,1435,45.77,4.6,395.27,Running,M0058,95.67
41.35,1.58,1454,54.65,4.07,438.27,Running,M0059,94.33
37.44,0.91,1414,49.46,3.83,848.86,Running,M0060,99.1
43.32,2.18,1515,51.37,4.65,723.53,Running,M0061,90.48
38.24,1.43,1543,47.84,4.74,179.48,Running,M0062,95.9
37.59,1.22,1469,54.13,4.47,182.17,Running,M0063,98.81
40.25,1.75,1448,46.2,4.11,419.76,Running,M0064,94.53
42.3,1.64,1565,48.25,4.13,189.64,Running,M0065,92.59
38.38,1.3,1451,54.33,4.45,322.76,Running,M0066,98.02
37.51,1.47,1522,50.68,4.61,924.07,Running,M0067,96.63
39.42,1.75,1379,54.97,5.04,550.82,Running,M0068,92.92
35.13,0.97,1534,49.18,4.33,174.65,Running,M0069,99.13
40.79,1.7,1495,50.89,4.26,985.87,Running,M0070,91.39
36.86,1.14,1402,49.55,3.61,518.19,Running,M0071,98.81
41.96,1.91,1445,54.77,5.05,110.7,Running,M0072,93.08
38.05,1.34,1548,45.88,4.12,271.22,Running,M0073,97.82
36.52,1.2,1570,50.65,4.1,580.32,Running,M0074,99.6
35.11,1.06,1555,47.9,3.73,954.98,Running,M0075,99.35
37.6,1.55,1536,45.21,4.19,996.9,Running,M0076,95.39
39.57,1.78,1492,51.5,4.15,941.64,Running,M0077,93.11
39.4,1.66,1531,52.01,3.94,387.98,Running,M0078,96.1
43.66,2.07,1535,52.22,4.86,748.88,Running,M0079,91.11
37.2,1.74,1560,51.01,4.31,302.89,Running,M0080,94.95
39.5,1.75,1439,52.5,4.74,508.23,Running,M0081,92.85
40.39,1.77,1411,47.07,5.0,524.72,Running,M0082,92.95
36.36,1.28,1470,45.05,4.49,256.42,Running,M0083,98.95
34.25,1.21,1493,51.82,4.25,763.79,Running,M0084,98.71
41.41,1.7,1578,50.23,4.25,341.82,Running,M0085,93.32
41.15,1.75,1392,46.51,4.64,270.14,Running,M0086,92.77
41.56,1.76,1421,50.27,5.24,770.87,Running,M0087,90.16
39.23,1.67,1392,48.85,4.38,641.26,Running,M0088,93.25
40.04,1.64,1466,51.62,4.92,441.84,Running,M0089,94.73
41.87,1.99,1475,46.7,4.89,409.09,Running,M0090,90.61
43.31,1.82,1506,54.39,4.45,983.0,Running,M0091,91.53
42.74,1.83,1379,51.57,4.16,292.77,Running,M0092,92.33
43.51,1.86,1550,49.2,4.29,493.2,Running,M0093,91.2
34.9,1.29,1419,51.32,4.47,178.3,Running,M0094,99.36
35.73,1.19,1398,46.94,3.72,173.32,Running,M0095,98.44
44.52,2.26,1413,50.2,4.35,709.13,Running,M0096,90.15
35.6,1.35,1417,50.24,3.99,685.32,Running,M0097,98.75
43.65,2.01,1549,46.0,4.4,963.7,Running,M0098,90.9
37.36,1.0,1586,48.92,3.86,946.14,Running,M0099,98.0
38.17,1.5,1516,51.7,4.17,377.49,Running,M0100,96.56
43.53,2.13,1504,52.01,4.83,116.41,Running,M0001,90.48
39.39,1.65,1395,51.93,4.63,359.43,Running,M0002,92.73
37.19,1.58,1536,52.15,4.24,860.66,Running,M0003,95.02
41.98,1.9,1481,51.66,4.99,501.03,Running,M0004,93.09
39.17,1.54,1534,50.15,4.79,697.08,Running,M0005,94.89
41.41,1.98,1535,54.55,4.42,433.64,Running,M0006,89.91
37.66,1.42,1540,48.75,4.26,588.9,Running,M0007,97.02
37.36,1.14,1574,47.59,4.19,489.9,Running,M0008,99.38
40.81,1.63,1550,46.99,4.35,674.76,Running,M0009,95.21
41.96,1.51,1422,52.05,4.49,402.97,Running,M0010,91.93
36.08,0.97,1514,51.92,3.72,307.07,Running,M0011,99.1
41.06,1.73,1568,45.64,4.16,625.65,Running,M0012,92.32
41.73,1.5,1402,47.52,4.86,475.11,Running,M0013,92.04
37.24,1.12,1498,49.68,4.09,243.0,Running,M0014,97.72
39.93,1.65,1535,50.18,4.59,273.94,Running,M0015,93.85
42.58,1.9,1425,54.8,4.38,819.52,Running,M0016,90.99
50.93,3.21,1503,45.87,5.44,259.1,Maintenance,M0017,79.92
39.76,1.58,1506,49.94,4.25,878.43,Running,M0018,92.68
38.5,1.72,1498,51.82,4.02,425.99,Running,M0019,93.5
37.16,1.62,1429,47.21,4.23,427.34,Running,M0020,96.65
39.89,1.54,1522,49.96,4.11,805.69,Running,M0021,92.8
42.55,1.93,1569,50.07,4.41,244.13,Running,M0022,91.87
35.95,1.08,1442,49.37,4.38,479.83,Running,M0023,99.66
43.49,2.12,1531,46.03,4.49,108.71,Running,M0024,90.78
40.27,1.77,1474,51.58,4.51,668.08,Running,M0025,90.99
40.09,1.64,1382,54.17,5.01,508.65,Running,M0026,93.0
41.19,1.86,1450,54.83,4.59,206.02,Running,M0027,93.71
38.98,1.34,1561,50.87,3.91,478.49,Running,M0028,96.17
41.24,1.42,1475,49.11,4.79,985.05,Running,M0029,93.52
37.17,0.91,1552,51.91,4.08,309.34,Running,M0030,98.95
48.24,2.62,1518,45.56,5.14,358.12,Running,M0031,85.27
34.49,0.9,1509,50.03,4.48,404.47,Running,M0032,99.88
51.56,2.74,1445,48.04,5.83,962.95,Maintenance,M0033,79.67
39.99,1.58,1485,45.2,4.89,919.28,Running,M0034,94.65
47.56,2.7,1541,54.78,5.18,581.25,Running,M0035,83.43
40.39,1.34,1406,50.25,4.88,915.44,Running,M0036,93.92
34.62,1.34,1462,46.21,3.94,721.1,Running,M0037,98.82
34.09,1.31,1565,52.13,4.14,902.51,Running,M0038,99.13
39.0,1.54,1558,48.01,4.54,483.86,Running,M0039,96.31
38.03,1.36,1517,45.85,4.49,777.95,Running,M0040,93.96
43.19,2.11,1562,51.78,4.86,733.25,Running,M0041,90.94
42.46,1.82,1444,47.94,4.46,440.08,Running,M0042,91.41
44.1,2.2,1382,54.84,5.17,243.67,Running,M0043,90.02
34.11,0.86,1404,45.24,4.35,558.39,Running,M0044,99.8
33.37,1.31,1457,53.55,4.11,868.76,Running,M0045,99.72
41.52,1.45,1475,52.97,4.73,897.3,Running,M0046,92.55
49.8,3.17,1391,50.31,5.34,404.73,Running,M0047,80.22
41.45,1.77,1443,51.08,4.74,496.27,Running,M0048,93.77
39.1,1.57,1423,48.54,4.9,256.89,Running,M0049,92.51
39.85,1.73,1571,45.4,4.83,699.7,Running,M0050,92.68
39.5,1.76,1525,53.6,4.21,448.95,Running,M0051,92.45
40.32,1.45,1429,49.3,4.32,572.59,Running,M0052,94.74
41.82,1.74,1431,48.71,4.37,887.39,Running,M0053,90.2
37.34,1.62,1525,54.81,4.25,956.64,Running,M0054,96.71
40.04,1.27,1447,46.52,4.78,146.39,Running,M0055,94.94
38.68,1.71,1413,51.07,4.82,628.79,Running,M0056,94.81
41.46,1.29,1497,49.05,4.82,631.0,Running,M0057,94.26
38.09,1.39,1538,51.95,4.5,396.27,Running,M0058,95.67
41.15,1.55,1395,52.9,4.6,439.27,Running,M0059,94.32
34.76,0.88,1530,46.06,3.7,849.86,Running,M0060,99.09
41.26,2.19,1413,48.68,4.57,724.53,Running,M0061,90.44
38.91,1.5,1474,46.59,4.69,180.48,Running,M0062,95.89
34.02,1.33,1545,52.6,4.39,183.17,Running,M0063,98.81
41.07,1.66,1428,52.49,4.93,420.76,Running,M0064,94.52
39.39,1.69,1556,50.26,4.69,190.64,Running,M0065,92.57
38.54,1.49,1492,49.24,4.3,323.76,Running,M0066,98.02
37.92,1.4,1465,53.97,4.44,925.07,Running,M0067,96.62
41.16,1.87,1561,46.79,4.67,551.82,Running,M0068,92.86
35.85,1.15,1410,51.16,4.54,175.65,Running,M0069,99.06
40.79,1.95,1516,49.19,4.3,986.87,Running,M0070,91.34
35.01,1.35,1505,46.59,4.57,519.19,Running,M0071,98.8
40.1,1.77,1524,47.91,4.91,111.7,Running,M0072,93.05
38.03,1.5,1501,52.29,4.41,272.22,Running,M0073,97.82
36.91,1.0,1547,46.86,3.55,581.32,Running,M0074,99.57
34.31,0.97,1525,52.09,4.06,955.98,Running,M0075,99.31
38.14,1.74,1411,50.54,4.03,997.9,Running,M0076,95.37
39.93,1.88,1551,47.62,4.99,942.64,Running,M0077,93.1
40.11,1.29,1555,53.71,4.5,388.98,Running,M0078,96.03
42.83,1.7,1427,51.21,4.84,749.88,Running,M0079,91.07
39.17,1.38,1474,53.74,4.54,303.89,Running,M0080,94.89
42.56,1.52,1491,54.13,4.08,509.23,Running,M0081,92.82
40.43,1.69,1485,52.21,4.07,525.72,Running,M0082,92.93
33.96,1.01,1407,52.43,4.22,257.42,Running,M0083,98.93
36.83,1.39,1414,45.96,4.23,764.79,Running,M0084,98.7
39.97,1.76,1567,54.03,5.03,342.82,Running,M0085,93.3
42.41,1.66,1418,52.08,4.26,271.14,Running,M0086,92.75
42.72,1.79,1488,45.41,4.78,771.87,Running,M0087,90.16
40.31,1.41,1570,53.02,4.93,642.26,Running,M0088,93.24
39.06,1.61,1561,48.2,4.2,442.84,Running,M0089,94.73
43.46,1.8,1484,46.05,4.85,410.09,Running,M0090,90.58
40.0,1.61,1389,50.86,4.5,984.0,Running,M0091,91.52
40.24,1.93,1438,54.47,4.23,293.77,Running,M0092,92.31
41.66,1.8,1404,49.6,4.43,494.2,Running,M0093,91.2
33.6,1.19,1432,51.97,4.06,179.3,Running,M0094,99.34
37.26,1.0,1479,46.26,4.18,174.32,Running,M0095,98.43
44.7,2.26,1475,47.56,4.54,710.13,Running,M0096,90.11
36.75,1.41,1485,51.46,4.4,686.32,Running,M0097,98.75
41.55,2.17,1442,46.47,4.52,964.7,Running,M0098,90.84
37.21,1.35,1538,51.69,4.08,947.14,Running,M0099,98.0
38.03,1.58,1441,48.76,4.76,378.49,Running,M0100,96.56
41.42,1.93,1426,53.92,5.08,117.41,Running,M0001,90.45
41.54,1.53,1542,47.64,4.99,360.43,Running,M0002,92.7
38.38,1.58,1518,46.4,4.62,861.66,Running,M0003,95.01
42.19,1.89,1448,50.58,4.14,502.03,Running,M0004,93.08
37.6,1.58,1562,49.58,4.76,698.08,Running,M0005,94.88
43.71,1.99,1521,50.54,4.85,434.64,Running,M0006,89.9
38.13,1.42,1507,47.95,4.38,589.9,Running,M0007,97.01
34.76,1.12,1581,54.63,3.88,490.9,Running,M0008,99.35
40.83,1.6,1571,53.79,4.16,675.76,Running,M0009,95.21
40.15,1.84,1429,49.01,4.34,403.97,Running,M0010,91.89
35.62,1.14,1520,54.51,3.71,308.07,Running,M0011,99.09
43.14,1.54,1544,50.95,4.98,626.65,Running,M0012,92.31
42.25,1.91,1497,50.27,5.06,476.11,Running,M0013,92.0
38.39,1.46,1518,50.82,4.59,244.0,Running,M0014,97.71
39.91,1.87,1448,52.21,4.71,274.94,Running,M0015,93.84
42.32,2.07,1381,52.09,4.62,820.52,Running,M0016,90.98
50.77,3.06,1367,48.54,5.82,260.1,Maintenance,M0017,79.89
41.89,1.96,1562,47.54,4.54,879.43,Running,M0018,92.65
40.59,1.78,1566,54.05,4.8,426.99,Running,M0019,93.48
38.98,1.37,1537,52.52,4.66,428.34,Running,M0020,96.65
40.76,1.62,1383,54.41,4.36,806.69,Running,M0021,92.79
40.66,2.0,1505,51.3,4.98,245.13,Running,M0022,91.82
35.28,1.3,1521,52.49,4.11,480.83,Running,M0023,99.63
43.9,2.06,1555,46.49,4.84,109.71,Running,M0024,90.75
41.97,1.65,1448,54.7,4.55,669.08,Running,M0025,90.94
41.8,1.69,1397,45.82,4.28,509.65,Running,M0026,92.96
41.0,1.48,1539,48.52,4.87,207.02,Running,M0027,93.67
36.95,1.5,1441,49.3,4.79,479.49,Running,M0028,96.15
40.68,1.71,1398,52.61,4.11,986.05,Running,M0029,93.51
34.17,1.34,1541,46.83,4.38,310.34,Running,M0030,98.94
45.22,2.2,1426,47.71,5.18,359.12,Running,M0031,85.25
34.92,0.76,1569,47.77,3.59,405.47,Running,M0032,99.88
66.04,4.48,1325,48.94,7.35,963.95,Maintenance,M0033,63.41
39.68,1.37,1390,52.8,4.34,920.28,Running,M0034,94.64
49.38,2.39,1438,54.82,4.93,582.25,Running,M0035,83.4
40.9,1.78,1577,45.62,4.69,916.44,Running,M0036,93.9
37.49,0.92,1450,47.0,4.28,722.1,Running,M0037,98.81
35.99,1.31,1431,50.73,4.01,903.51,Running,M0038,99.12
36.25,1.59,1450,51.5,4.73,484.86,Running,M0039,96.3
40.12,1.56,1492,45.07,4.26,778.95,Running,M0040,93.91
43.61,1.91,1565,52.82,4.38,734.25,Running,M0041,90.92
42.1,1.96,1542,49.85,4.44,441.08,Running,M0042,91.36
41.15,2.19,1452,48.43,5.29,244.67,Running,M0043,90.01
35.45,1.27,1486,46.77,4.49,559.39,Running,M0044,99.76
34.41,0.87,1399,46.57,3.75,869.76,Running,M0045,99.7
40.07,1.73,1460,53.73,4.25,898.3,Running,M0046,92.49
50.85,3.16,1521,47.46,5.9,405.73,Running,M0047,80.18
38.49,1.37,1470,53.94,4.41,497.27,Running,M0048,93.75
39.82,1.95,1449,49.16,4.4,257.89,Running,M0049,92.49
42.18,1.84,1500,45.79,4.61,700.7,Running,M0050,92.65
42.73,1.83,1530,52.14,4.18,449.95,Running,M0051,92.42
39.69,1.73,1547,47.56,4.23,573.59,Running,M0052,94.74
42.61,1.8,1445,50.73,4.88,888.39,Running,M0053,90.14
38.51,1.03,1499,50.25,3.91,957.64,Running,M0054,96.71
37.94,1.55,1425,48.34,4.05,147.39,Running,M0055,94.93
39.09,1.77,1460,49.34,4.25,629.79,Running,M0056,94.78
41.37,1.68,1448,49.5,4.87,632.0,Running,M0057,94.24
38.38,1.59,1515,54.85,4.33,397.27,Running,M0058,95.66
40.5,1.8,1389,49.08,4.52,440.27,Running,M0059,94.3
34.08,1.01,1457,52.76,4.39,850.86,Running,M0060,99.08
42.32,2.17,1460,51.27,5.24,725.53,Running,M0061,90.37
36.54,1.39,1541,51.37,3.99,181.48,Running,M0062,95.88
35.51,1.17,1535,54.86,3.99,184.17,Running,M0063,98.78
40.98,1.82,1383,49.87,4.28,421.76,Running,M0064,94.51
42.15,1.61,1537,54.7,4.39,191.64,Running,M0065,92.56
37.87,0.98,1427,45.71,3.92,324.76,Running,M0066,98.02
37.19,1.27,1556,51.92,4.61,926.07,Running,M0067,96.61
40.51,1.69,1462,45.53,4.92,552.82,Running,M0068,92.82
36.42,0.82,1596,54.5,4.33,176.65,Running,M0069,99.06
40.16,1.68,1491,54.98,4.88,987.87,Running,M0070,91.32
37.88,1.36,1411,46.51,4.52,520.19,Running,M0071,98.73
39.36,1.57,1410,52.29,4.86,112.7,Running,M0072,93.0
37.41,1.06,1435,48.6,4.52,273.22,Running,M0073,97.77
37.19,0.86,1580,54.38,3.86,582.32,Running,M0074,99.52
37.32,1.23,1419,51.88,4.35,956.98,Running,M0075,99.29
37.4,1.49,1432,49.32,3.92,998.9,Running,M0076,95.33
39.73,1.99,1465,52.46,4.9,943.64,Running,M0077,93.08
39.99,1.36,1429,50.61,4.18,389.98,Running,M0078,95.95
41.81,1.68,1496,48.95,4.85,750.88,Running,M0079,91.05
37.5,1.66,1554,49.96,4.29,304.89,Running,M0080,94.86
40.33,1.57,1552,52.8,4.54,510.23,Running,M0081,92.81
41.09,1.94,1388,52.79,4.38,526.72,Running,M0082,92.9
35.6,1.2,1527,53.13,3.93,258.42,Running,M0083,98.92
34.27,1.27,1564,49.74,4.15,765.79,Running,M0084,98.7
41.71,1.4,1453,50.92,4.96,343.82,Running,M0085,93.28
39.96,2.01,1500,49.7,4.2,272.14,Running,M0086,92.74
42.26,1.81,1449,45.45,4.85,772.87,Running,M0087,90.14
41.43,1.47,1450,47.12,4.08,643.26,Running,M0088,93.23
40.07,1.55,1532,53.85,4.83,443.84,Running,M0089,94.71
42.35,2.11,1503,49.82,4.27,411.09,Running,M0090,90.57
42.98,2.12,1561,47.25,5.04,985.0,Running,M0091,91.51
